Technique,Preprocessing Time (s),Space Usage (bytes),Total Query Time (s)
basic_insertion-lru_deletion,0.015972137451171875,608,0.003017902374267578
basic_insertion-oldest_deletion,0.020359277725219727,608,0.005673408508300781
basic_insertion-temporal_deletion,0.019175052642822266,608,0.0027594566345214844
rebalance_insertion-lru_deletion,0.05762624740600586,51008,0.027287721633911133
rebalance_insertion-oldest_deletion,0.0333104133605957,51008,0.047452688217163086
rebalance_insertion-temporal_deletion,0.03334808349609375,51008,0.0271148681640625
advanced_insertion-lru_deletion,0.07463622093200684,608,0.08147144317626953
advanced_insertion-oldest_deletion,0.08646988868713379,608,0.04923868179321289
advanced_insertion-temporal_deletion,0.07456278800964355,608,0.047556161880493164
